"I(lj1)_x","I(lj1)_y","I(lj2)_x","I(lj2)_y","I(lj21)_x","I(lj21)_y","I(lj22)_x","I(lj22)_y","I(lj23)_x","I(lj23)_y","I(lj24)_x","I(lj24)_y","I(lj25)_x","I(lj25)_y","I(lj3)_x","I(lj3)_y","I(lj4)_x","I(lj4)_y","I(lj5)_x","I(lj5)_y","I(lc)_x","I(lc)_y"
1,-0.0002716300921,1,-0.0003369926096,1,0.0002811587452,1,0.0003415748919,1,0.0003580453141,1,0.0003397992583,1,0.000276612497,1,-0.0003558417083,1,-0.0003387395323,1,-0.0002761028303,1,0.000224,
2,-0.0009412656389,2,-0.001173184185,2,0.001004367525,2,0.001205495638,2,0.001261761862,2,0.001193398696,2,0.0009746130122,2,-0.001245277941,2,-0.001185016757,2,-0.0009703629474,2,0.000832,
3,-0.001831200464,3,-0.002291020641,3,0.002042029227,3,0.002405087497,3,0.002504001038,3,0.002363876058,3,0.001943923073,3,-0.002442645642,3,-0.002331048445,3,-0.001926442131,3,0.001728,
4,-0.002843419057,4,-0.003579847461,4,0.003326141903,4,0.003852821092,4,0.003985783204,4,0.003757485449,4,0.00310454255,4,-0.003832352475,4,-0.003671739733,4,-0.00305687463,4,0.002816,
5,-0.003899908008,5,-0.004955092671,5,0.004767340527,5,0.00546146553,5,0.005622033406,5,0.005289659404,5,0.00437404733,5,-0.00532784112,5,-0.005119536484,5,-0.004276096138,5,0.004,
6,-0.004925438555,6,-0.006316537608,6,0.00625060809,6,0.007105755152,6,0.007288152627,6,0.006843654572,6,0.005655666865,6,-0.006819534429,6,-0.006566178122,6,-0.005491758051,6,0.005184,
7,-0.005835373811,7,-0.007547936975,7,0.007647662626,7,0.008639025861,7,0.008834330188,7,0.008281471109,7,0.006839456785,7,-0.008178618525,7,-0.007887844686,7,-0.00660321189,7,0.006272,
8,-0.006538590183,8,-0.008528725484,8,0.008830996845,8,0.009916231751,8,0.01011189188,8,0.00946474682,8,0.007812793059,8,-0.009273452351,8,-0.008958267821,8,-0.007506468312,8,0.007168,
9,-0.006947085841,9,-0.00914308563,9,0.009678985185,9,0.01080170864,9,0.01098267895,9,0.01026410057,9,0.008468627977,9,-0.009977866689,9,-0.009655684464,9,-0.008099662526,9,0.007776,
10,-0.006980322725,10,-0.009281672841,10,0.01007096269,10,0.01116353329,10,0.01131375878,10,0.01055557118,10,0.008704456773,10,-0.01017110985,10,-0.009862512468,10,-0.008283646806,10,0.008,
13.93821671,-0.006818462834,13.93821671,-0.009249588508,13.93821671,0.01039632448,13.93821671,0.01143609663,13.93821671,0.01153726991,13.93821671,0.0107335462,13.93821671,0.008818819037,13.93821671,-0.0102041956,13.93821671,-0.009921794911,13.93821671,-0.0083245411,13.93821671,0.008,
16.24835487,-0.006879714351,16.24835487,-0.009300555496,16.24835487,0.01034755454,16.24835487,0.01140874228,16.24835487,0.01152507761,16.24835487,0.01072706693,16.24835487,0.008813064403,16.24835487,-0.01024608722,16.24835487,-0.009951789519,16.24835487,-0.008342998403,16.24835487,0.008,
