"frequency";"r dbJPM";"i dbJPM"
4.5e+09;-2.93876e-07;0
4.50015e+09;-2.94065e-07;0
4.5003e+09;-2.94254e-07;0
4.50045e+09;-2.94443e-07;0
4.5006e+09;-2.94632e-07;0
4.50075e+09;-2.94822e-07;0
4.5009e+09;-2.95012e-07;0
4.50105e+09;-2.95202e-07;0
4.5012e+09;-2.95393e-07;0
4.50135e+09;-2.95584e-07;0
4.5015e+09;-2.95775e-07;0
4.50165e+09;-2.95966e-07;0
4.5018e+09;-2.96157e-07;0
4.50195e+09;-2.96349e-07;0
4.5021e+09;-2.96541e-07;0
4.50225e+09;-2.96734e-07;0
4.5024e+09;-2.96926e-07;0
4.50255e+09;-2.97119e-07;0
4.5027e+09;-2.97312e-07;0
4.50285e+09;-2.97506e-07;0
4.503e+09;-2.97699e-07;0
4.50315e+09;-2.97893e-07;0
4.5033e+09;-2.98087e-07;0
4.50345e+09;-2.98282e-07;0
4.5036e+09;-2.98476e-07;0
4.50375e+09;-2.98671e-07;0
4.5039e+09;-2.98867e-07;0
4.50405e+09;-2.99062e-07;0
4.5042e+09;-2.99258e-07;0
4.50435e+09;-2.99454e-07;0
4.5045e+09;-2.9965e-07;0
4.50465e+09;-2.99847e-07;0
4.5048e+09;-3.00044e-07;0
4.50495e+09;-3.00241e-07;0
4.5051e+09;-3.00438e-07;0
4.50525e+09;-3.00636e-07;0
4.5054e+09;-3.00834e-07;0
4.50555e+09;-3.01032e-07;0
4.5057e+09;-3.01231e-07;0
4.50585e+09;-3.0143e-07;0
4.506e+09;-3.01629e-07;0
4.50615e+09;-3.01828e-07;0
4.5063e+09;-3.02028e-07;0
4.50645e+09;-3.02228e-07;0
4.5066e+09;-3.02428e-07;0
4.50675e+09;-3.02628e-07;0
4.5069e+09;-3.02829e-07;0
4.50705e+09;-3.0303e-07;0
4.5072e+09;-3.03231e-07;0
4.50735e+09;-3.03433e-07;0
4.5075e+09;-3.03635e-07;0
4.50765e+09;-3.03837e-07;0
4.5078e+09;-3.0404e-07;0
4.50795e+09;-3.04242e-07;0
4.5081e+09;-3.04445e-07;0
4.50825e+09;-3.04649e-07;0
4.5084e+09;-3.04852e-07;0
4.50855e+09;-3.05056e-07;0
4.5087e+09;-3.0526e-07;0
4.50885e+09;-3.05465e-07;0
4.509e+09;-3.0567e-07;0
4.50915e+09;-3.05875e-07;0
4.5093e+09;-3.0608e-07;0
4.50945e+09;-3.06286e-07;0
4.5096e+09;-3.06492e-07;0
4.50975e+09;-3.06698e-07;0
4.5099e+09;-3.06905e-07;0
4.51005e+09;-3.07112e-07;0
4.5102e+09;-3.07319e-07;0
4.51035e+09;-3.07526e-07;0
4.5105e+09;-3.07734e-07;0
4.51065e+09;-3.07942e-07;0
4.5108e+09;-3.0815e-07;0
4.51095e+09;-3.08359e-07;0
4.5111e+09;-3.08568e-07;0
4.51125e+09;-3.08777e-07;0
4.5114e+09;-3.08987e-07;0
4.51155e+09;-3.09197e-07;0
4.5117e+09;-3.09407e-07;0
4.51185e+09;-3.09617e-07;0
4.512e+09;-3.09828e-07;0
4.51215e+09;-3.10039e-07;0
4.5123e+09;-3.10251e-07;0
4.51245e+09;-3.10463e-07;0
4.5126e+09;-3.10675e-07;0
4.51275e+09;-3.10887e-07;0
4.5129e+09;-3.111e-07;0
4.51305e+09;-3.11313e-07;0
4.5132e+09;-3.11526e-07;0
4.51335e+09;-3.1174e-07;0
4.5135e+09;-3.11954e-07;0
4.51365e+09;-3.12168e-07;0
4.5138e+09;-3.12382e-07;0
4.51395e+09;-3.12597e-07;0
4.5141e+09;-3.12813e-07;0
4.51425e+09;-3.13028e-07;0
4.5144e+09;-3.13244e-07;0
4.51455e+09;-3.1346e-07;0
4.5147e+09;-3.13677e-07;0
4.51485e+09;-3.13893e-07;0
4.515e+09;-3.14111e-07;0
4.51515e+09;-3.14328e-07;0
4.5153e+09;-3.14546e-07;0
4.51545e+09;-3.14764e-07;0
4.5156e+09;-3.14983e-07;0
4.51575e+09;-3.15201e-07;0
4.5159e+09;-3.1542e-07;0
4.51605e+09;-3.1564e-07;0
4.5162e+09;-3.1586e-07;0
4.51635e+09;-3.1608e-07;0
4.5165e+09;-3.163e-07;0
4.51665e+09;-3.16521e-07;0
4.5168e+09;-3.16742e-07;0
4.51695e+09;-3.16964e-07;0
4.5171e+09;-3.17186e-07;0
4.51725e+09;-3.17408e-07;0
4.5174e+09;-3.1763e-07;0
4.51755e+09;-3.17853e-07;0
4.5177e+09;-3.18076e-07;0
4.51785e+09;-3.183e-07;0
4.518e+09;-3.18524e-07;0
4.51815e+09;-3.18748e-07;0
4.5183e+09;-3.18972e-07;0
4.51845e+09;-3.19197e-07;0
4.5186e+09;-3.19422e-07;0
4.51875e+09;-3.19648e-07;0
4.5189e+09;-3.19874e-07;0
4.51905e+09;-3.201e-07;0
4.5192e+09;-3.20327e-07;0
4.51935e+09;-3.20554e-07;0
4.5195e+09;-3.20781e-07;0
4.51965e+09;-3.21009e-07;0
4.5198e+09;-3.21237e-07;0
4.51995e+09;-3.21465e-07;0
4.5201e+09;-3.21694e-07;0
4.52025e+09;-3.21923e-07;0
4.5204e+09;-3.22153e-07;0
4.52055e+09;-3.22383e-07;0
4.5207e+09;-3.22613e-07;0
4.52085e+09;-3.22844e-07;0
4.521e+09;-3.23074e-07;0
4.52115e+09;-3.23306e-07;0
4.5213e+09;-3.23537e-07;0
4.52145e+09;-3.23769e-07;0
4.5216e+09;-3.24002e-07;0
4.52175e+09;-3.24235e-07;0
4.5219e+09;-3.24468e-07;0
4.52205e+09;-3.24701e-07;0
4.5222e+09;-3.24935e-07;0
4.52235e+09;-3.25169e-07;0
4.5225e+09;-3.25404e-07;0
4.52265e+09;-3.25639e-07;0
4.5228e+09;-3.25874e-07;0
4.52295e+09;-3.2611e-07;0
4.5231e+09;-3.26346e-07;0
4.52325e+09;-3.26583e-07;0
4.5234e+09;-3.2682e-07;0
4.52355e+09;-3.27057e-07;0
4.5237e+09;-3.27295e-07;0
4.52385e+09;-3.27533e-07;0
4.524e+09;-3.27771e-07;0
4.52415e+09;-3.2801e-07;0
4.5243e+09;-3.28249e-07;0
4.52445e+09;-3.28489e-07;0
4.5246e+09;-3.28729e-07;0
4.52475e+09;-3.28969e-07;0
4.5249e+09;-3.2921e-07;0
4.52505e+09;-3.29451e-07;0
4.5252e+09;-3.29692e-07;0
4.52535e+09;-3.29934e-07;0
4.5255e+09;-3.30177e-07;0
4.52565e+09;-3.30419e-07;0
4.5258e+09;-3.30663e-07;0
4.52595e+09;-3.30906e-07;0
4.5261e+09;-3.3115e-07;0
4.52625e+09;-3.31394e-07;0
4.5264e+09;-3.31639e-07;0
4.52655e+09;-3.31884e-07;0
4.5267e+09;-3.3213e-07;0
4.52685e+09;-3.32376e-07;0
4.527e+09;-3.32622e-07;0
4.52715e+09;-3.32869e-07;0
4.5273e+09;-3.33116e-07;0
4.52745e+09;-3.33364e-07;0
4.5276e+09;-3.33612e-07;0
4.52775e+09;-3.3386e-07;0
4.5279e+09;-3.34109e-07;0
4.52805e+09;-3.34358e-07;0
4.5282e+09;-3.34608e-07;0
4.52835e+09;-3.34858e-07;0
4.5285e+09;-3.35108e-07;0
4.52865e+09;-3.35359e-07;0
